CR_TERDISPLAYID,CR_TRANSACTIONDATE,CR_LOCDISPLAYID,CR_TOTALCOUNT,CR_AMOUNT
003402002,2025-06-25,003402,0,0.0
003403001,2025-06-25,003403,0,0.0
003403002,2025-06-25,003403,0,0.0
003501001,2025-06-25,003501,0,0.0
003501002,2025-06-25,003501,0,0.0
003601001,2025-06-25,003601,0,0.0
003601002,2025-06-25,003601,0,0.0
003801001,2025-06-25,003801,0,0.0
003801002,2025-06-25,003801,0,0.0
003802001,2025-06-25,003802,0,0.0
003802002,2025-06-25,003802,0,0.0
003802003,2025-06-25,003802,0,0.0
003803001,2025-06-25,003803,0,0.0
003803002,2025-06-25,003803,0,0.0
003803003,2025-06-25,003803,0,0.0
003805001,2025-06-25,003805,0,0.0
003805002,2025-06-25,003805,0,0.0
003807001,2025-06-25,003807,0,0.0
003807002,2025-06-25,003807,0,0.0
003902001,2025-06-25,003902,0,0.0
003902002,2025-06-25,003902,0,0.0
004001001,2025-06-25,004001,0,0.0
004001002,2025-06-25,004001,0,0.0
004001003,2025-06-25,004001,0,0.0
004002001,2025-06-25,004002,0,0.0
004002002,2025-06-25,004002,0,0.0
004002003,2025-06-25,004002,0,0.0
004006001,2025-06-25,004006,0,0.0
004006002,2025-06-25,004006,0,0.0
004007001,2025-06-25,004007,0,0.0
004007002,2025-06-25,004007,0,0.0
004101001,2025-06-25,004101,0,0.0
004101002,2025-06-25,004101,0,0.0
004202001,2025-06-25,004202,0,0.0
004202002,2025-06-25,004202,0,0.0
004303001,2025-06-25,004303,0,0.0
004303002,2025-06-25,004303,0,0.0
004401001,2025-06-25,004401,0,0.0
004401002,2025-06-25,004401,0,0.0
004402001,2025-06-25,004402,0,0.0
004402002,2025-06-25,004402,0,0.0
004404001,2025-06-25,004404,0,0.0
004404002,2025-06-25,004404,0,0.0
004404003,2025-06-25,004404,0,0.0
004501001,2025-06-25,004501,0,0.0
004501002,2025-06-25,004501,0,0.0
004501003,2025-06-25,004501,0,0.0
004602001,2025-06-25,004602,0,0.0
004602002,2025-06-25,004602,0,0.0
004604001,2025-06-25,004604,0,0.0
004604002,2025-06-25,004604,0,0.0
004604003,2025-06-25,004604,0,0.0
004604004,2025-06-25,004604,0,0.0
004605001,2025-06-25,004605,0,0.0
004605002,2025-06-25,004605,0,0.0
004607001,2025-06-25,004607,0,0.0
004607002,2025-06-25,004607,0,0.0
004607003,2025-06-25,004607,0,0.0
004609001,2025-06-25,004609,0,0.0
004609002,2025-06-25,004609,0,0.0
004610001,2025-06-25,004610,0,0.0
004610002,2025-06-25,004610,0,0.0
004612001,2025-06-25,004612,0,0.0
004612002,2025-06-25,004612,0,0.0
004613001,2025-06-25,004613,0,0.0
004613002,2025-06-25,004613,0,0.0
004701001,2025-06-25,004701,0,0.0
004701002,2025-06-25,004701,0,0.0
004701003,2025-06-25,004701,0,0.0
004702001,2025-06-25,004702,0,0.0
004702002,2025-06-25,004702,0,0.0
004703001,2025-06-25,004703,0,0.0
004703002,2025-06-25,004703,0,0.0
004801001,2025-06-25,004801,0,0.0
004801002,2025-06-25,004801,0,0.0
004801003,2025-06-25,004801,0,0.0
005002001,2025-06-25,005002,0,0.0
005002002,2025-06-25,005002,0,0.0
005101001,2025-06-25,005101,0,0.0
005101002,2025-06-25,005101,0,0.0
005103001,2025-06-25,005103,0,0.0
005103002,2025-06-25,005103,0,0.0
005104001,2025-06-25,005104,0,0.0
005104002,2025-06-25,005104,0,0.0
005105001,2025-06-25,005105,0,0.0
005105002,2025-06-25,005105,0,0.0
005201001,2025-06-25,005201,0,0.0
005201002,2025-06-25,005201,0,0.0
005202001,2025-06-25,005202,0,0.0
005202002,2025-06-25,005202,0,0.0
005202003,2025-06-25,005202,0,0.0
005203001,2025-06-25,005203,0,0.0
005203002,2025-06-25,005203,0,0.0
005203003,2025-06-25,005203,0,0.0
005203004,2025-06-25,005203,0,0.0
005204001,2025-06-25,005204,0,0.0
005204002,2025-06-25,005204,0,0.0
005206001,2025-06-25,005206,0,0.0
005206002,2025-06-25,005206,0,0.0
005206003,2025-06-25,005206,0,0.0
005206004,2025-06-25,005206,0,0.0
005208001,2025-06-25,005208,0,0.0
005208002,2025-06-25,005208,0,0.0
005208003,2025-06-25,005208,0,0.0
005211001,2025-06-25,005211,0,0.0
005211002,2025-06-25,005211,0,0.0
