CR_TERDISPLAYID,CR_TRANSACTIONDATE,CR_LOCDISPLAYID,CR_TOTALCOUNT,CR_AMOUNT
162001004,2025-06-25,162001,0,0.0
162001005,2025-06-25,162001,0,0.0
162001006,2025-06-25,162001,0,0.0
162001007,2025-06-25,162001,0,0.0
162195001,2025-06-25,162195,0,0.0
162195002,2025-06-25,162195,0,0.0
162195003,2025-06-25,162195,0,0.0
162199001,2025-06-25,162199,0,0.0
162199002,2025-06-25,162199,0,0.0
162199003,2025-06-25,162199,0,0.0
162199004,2025-06-25,162199,0,0.0
162199005,2025-06-25,162199,0,0.0
162201001,2025-06-25,162201,0,0.0
162201002,2025-06-25,162201,0,0.0
162201003,2025-06-25,162201,0,0.0
162201004,2025-06-25,162201,0,0.0
163301001,2025-06-25,163301,0,0.0
163301002,2025-06-25,163301,0,0.0
163801001,2025-06-25,163801,0,0.0
163801002,2025-06-25,163801,0,0.0
163801003,2025-06-25,163801,0,0.0
163802001,2025-06-25,163802,0,0.0
163802002,2025-06-25,163802,0,0.0
163803001,2025-06-25,163803,0,0.0
163803002,2025-06-25,163803,0,0.0
163803003,2025-06-25,163803,0,0.0
163803004,2025-06-25,163803,0,0.0
163803005,2025-06-25,163803,0,0.0
175191001,2025-06-25,175191,0,0.0
175191002,2025-06-25,175191,0,0.0
175191003,2025-06-25,175191,0,0.0
175191004,2025-06-25,175191,0,0.0
175401001,2025-06-25,175401,0,0.0
175401002,2025-06-25,175401,0,0.0
176701001,2025-06-25,176701,0,0.0
176701002,2025-06-25,176701,0,0.0
176701003,2025-06-25,176701,0,0.0
176701004,2025-06-25,176701,0,0.0
176702001,2025-06-25,176702,0,0.0
176702002,2025-06-25,176702,0,0.0
176702003,2025-06-25,176702,0,0.0
176801001,2025-06-25,176801,0,0.0
176801002,2025-06-25,176801,0,0.0
176801003,2025-06-25,176801,0,0.0
176801004,2025-06-25,176801,0,0.0
176802001,2025-06-25,176802,0,0.0
176802002,2025-06-25,176802,0,0.0
176802003,2025-06-25,176802,0,0.0
176802004,2025-06-25,176802,0,0.0
176802005,2025-06-25,176802,0,0.0
176802006,2025-06-25,176802,0,0.0
177193001,2025-06-25,177193,0,0.0
177193002,2025-06-25,177193,0,0.0
177193003,2025-06-25,177193,0,0.0
177193004,2025-06-25,177193,0,0.0
177193005,2025-06-25,177193,0,0.0
177301001,2025-06-25,177301,0,0.0
177301002,2025-06-25,177301,0,0.0
177301003,2025-06-25,177301,0,0.0
177302001,2025-06-25,177302,0,0.0
177302002,2025-06-25,177302,0,0.0
177302003,2025-06-25,177302,0,0.0
177303001,2025-06-25,177303,0,0.0
177303002,2025-06-25,177303,0,0.0
177303003,2025-06-25,177303,0,0.0
177303004,2025-06-25,177303,0,0.0
177304001,2025-06-25,177304,0,0.0
177304002,2025-06-25,177304,0,0.0
177304003,2025-06-25,177304,0,0.0
177501001,2025-06-25,177501,0,0.0
177501002,2025-06-25,177501,0,0.0
177501003,2025-06-25,177501,0,0.0
177601001,2025-06-25,177601,0,0.0
177601002,2025-06-25,177601,0,0.0
177601003,2025-06-25,177601,0,0.0
177601004,2025-06-25,177601,0,0.0
177602001,2025-06-25,177602,0,0.0
177602002,2025-06-25,177602,0,0.0
177603001,2025-06-25,177603,0,0.0
177603002,2025-06-25,177603,0,0.0
177603003,2025-06-25,177603,0,0.0
177603004,2025-06-25,177603,0,0.0
177604001,2025-06-25,177604,0,0.0
177604002,2025-06-25,177604,0,0.0
177604003,2025-06-25,177604,0,0.0
181201007,2025-06-25,181201,0,0.0
181201008,2025-06-25,181201,0,0.0
181201009,2025-06-25,181201,0,0.0
181201010,2025-06-25,181201,0,0.0
181201011,2025-06-25,181201,0,0.0
181201012,2025-06-25,181201,0,0.0
181202001,2025-06-25,181202,0,0.0
181202002,2025-06-25,181202,0,0.0
181202003,2025-06-25,181202,0,0.0
181203001,2025-06-25,181203,0,0.0
181203002,2025-06-25,181203,0,0.0
181203003,2025-06-25,181203,0,0.0
181203004,2025-06-25,181203,0,0.0
181401001,2025-06-25,181401,0,0.0
181401002,2025-06-25,181401,0,0.0
182601001,2025-06-25,182601,0,0.0
182601002,2025-06-25,182601,0,0.0
182701001,2025-06-25,182701,0,0.0
182701002,2025-06-25,182701,0,0.0
182701003,2025-06-25,182701,0,0.0
182701004,2025-06-25,182701,0,0.0
182702001,2025-06-25,182702,0,0.0
182702002,2025-06-25,182702,0,0.0
182702003,2025-06-25,182702,0,0.0
182702004,2025-06-25,182702,0,0.0
182702005,2025-06-25,182702,0,0.0
182702006,2025-06-25,182702,0,0.0
182702007,2025-06-25,182702,0,0.0
182702008,2025-06-25,182702,0,0.0
186001001,2025-06-25,186001,0,0.0
186001002,2025-06-25,186001,0,0.0
186001003,2025-06-25,186001,0,0.0
186002001,2025-06-25,186002,0,0.0
186002002,2025-06-25,186002,0,0.0
186002003,2025-06-25,186002,0,0.0
186002004,2025-06-25,186002,0,0.0
186190001,2025-06-25,186190,0,0.0
186190002,2025-06-25,186190,0,0.0
186190003,2025-06-25,186190,0,0.0
186190004,2025-06-25,186190,0,0.0
186190005,2025-06-25,186190,0,0.0
186194001,2025-06-25,186194,0,0.0
186194002,2025-06-25,186194,0,0.0
186194003,2025-06-25,186194,0,0.0
186194004,2025-06-25,186194,0,0.0
186194005,2025-06-25,186194,0,0.0
186194006,2025-06-25,186194,0,0.0
186194007,2025-06-25,186194,0,0.0
186194008,2025-06-25,186194,0,0.0
186401001,2025-06-25,186401,0,0.0
186401002,2025-06-25,186401,0,0.0
186401003,2025-06-25,186401,0,0.0
186401004,2025-06-25,186401,0,0.0
186402001,2025-06-25,186402,0,0.0
186402002,2025-06-25,186402,0,0.0
186403001,2025-06-25,186403,0,0.0
186403002,2025-06-25,186403,0,0.0
186403003,2025-06-25,186403,0,0.0
186403004,2025-06-25,186403,0,0.0
186403005,2025-06-25,186403,0,0.0
186501001,2025-06-25,186501,0,0.0
186501002,2025-06-25,186501,0,0.0
186502001,2025-06-25,186502,0,0.0
186502002,2025-06-25,186502,0,0.0
186502003,2025-06-25,186502,0,0.0
186502004,2025-06-25,186502,0,0.0
186503005,2025-06-25,186503,0,0.0
186503006,2025-06-25,186503,0,0.0
186503007,2025-06-25,186503,0,0.0
186503008,2025-06-25,186503,0,0.0
190516001,2025-06-25,190516,0,0.0
190516002,2025-06-25,190516,0,0.0
190516003,2025-06-25,190516,0,0.0
193101001,2025-06-25,193101,0,0.0
193101002,2025-06-25,193101,0,0.0
193101003,2025-06-25,193101,0,0.0
193102001,2025-06-25,193102,0,0.0
193102002,2025-06-25,193102,0,0.0
193103001,2025-06-25,193103,0,0.0
193103002,2025-06-25,193103,0,0.0
193103003,2025-06-25,193103,0,0.0
193103004,2025-06-25,193103,0,0.0
193201001,2025-06-25,193201,0,0.0
193201002,2025-06-25,193201,0,0.0
193201003,2025-06-25,193201,0,0.0
193202001,2025-06-25,193202,0,0.0
193202002,2025-06-25,193202,0,0.0
193202003,2025-06-25,193202,0,0.0
193501001,2025-06-25,193501,0,0.0
193501002,2025-06-25,193501,0,0.0
193701001,2025-06-25,193701,0,0.0
193701002,2025-06-25,193701,0,0.0
193701003,2025-06-25,193701,0,0.0
193702001,2025-06-25,193702,0,0.0
193702002,2025-06-25,193702,0,0.0
193702003,2025-06-25,193702,0,0.0
195501001,2025-06-25,195501,0,0.0
195501002,2025-06-25,195501,0,0.0
195501003,2025-06-25,195501,0,0.0
195501004,2025-06-25,195501,0,0.0
195601002,2025-06-25,195601,0,0.0
195601003,2025-06-25,195601,0,0.0
195601004,2025-06-25,195601,0,0.0
195601005,2025-06-25,195601,0,0.0
195601006,2025-06-25,195601,0,0.0
195601007,2025-06-25,195601,0,0.0
195601009,2025-06-25,195601,0,0.0
195602001,2025-06-25,195602,0,0.0
195602002,2025-06-25,195602,0,0.0
195602003,2025-06-25,195602,0,0.0
195603001,2025-06-25,195603,0,0.0
195603002,2025-06-25,195603,0,0.0
195603003,2025-06-25,195603,0,0.0
195604001,2025-06-25,195604,0,0.0
195604002,2025-06-25,195604,0,0.0
195604003,2025-06-25,195604,0,0.0
195605001,2025-06-25,195605,0,0.0
195605002,2025-06-25,195605,0,0.0
195605003,2025-06-25,195605,0,0.0
195701001,2025-06-25,195701,0,0.0
195701002,2025-06-25,195701,0,0.0
195702001,2025-06-25,195702,0,0.0
195702002,2025-06-25,195702,0,0.0
195702003,2025-06-25,195702,0,0.0
195702004,2025-06-25,195702,0,0.0
200001001,2025-06-25,200001,0,0.0
200001002,2025-06-25,200001,0,0.0
200001003,2025-06-25,200001,0,0.0
200001004,2025-06-25,200001,0,0.0
200002001,2025-06-25,200002,0,0.0
200002002,2025-06-25,200002,0,0.0
200003003,2025-06-25,200003,0,0.0
211300001,2025-06-25,211300,0,0.0
211300003,2025-06-25,211300,0,0.0
211300004,2025-06-25,211300,0,0.0
211300007,2025-06-25,211300,0,0.0
211300008,2025-06-25,211300,0,0.0
211600001,2025-06-25,211600,0,0.0
211600002,2025-06-25,211600,0,0.0
211600003,2025-06-25,211600,0,0.0
211600004,2025-06-25,211600,0,0.0
211600005,2025-06-25,211600,0,0.0
211800001,2025-06-25,211800,0,0.0
211800002,2025-06-25,211800,0,0.0
211800003,2025-06-25,211800,0,0.0
211800004,2025-06-25,211800,0,0.0
211800005,2025-06-25,211800,0,0.0
211800006,2025-06-25,211800,0,0.0
211800007,2025-06-25,211800,0,0.0
211801001,2025-06-25,211801,0,0.0
211801002,2025-06-25,211801,0,0.0
211802001,2025-06-25,211802,0,0.0
212000001,2025-06-25,212000,0,0.0
212000003,2025-06-25,212000,0,0.0
212000006,2025-06-25,212000,0,0.0
212000007,2025-06-25,212000,0,0.0
212000008,2025-06-25,212000,0,0.0
212000010,2025-06-25,212000,0,0.0
212000012,2025-06-25,212000,0,0.0
212000013,2025-06-25,212000,0,0.0
212000015,2025-06-25,212000,0,0.0
212000016,2025-06-25,212000,0,0.0
212000017,2025-06-25,212000,0,0.0
212100001,2025-06-25,212100,0,0.0
212100002,2025-06-25,212100,0,0.0
212100003,2025-06-25,212100,0,0.0
212200001,2025-06-25,212200,0,0.0
212200002,2025-06-25,212200,0,0.0
212200006,2025-06-25,212200,0,0.0
212200007,2025-06-25,212200,0,0.0
212200008,2025-06-25,212200,0,0.0
212400001,2025-06-25,212400,0,0.0
221000001,2025-06-25,221000,0,0.0
221000002,2025-06-25,221000,0,0.0
280101001,2025-06-25,280101,0,0.0
280101002,2025-06-25,280101,0,0.0
280101003,2025-06-25,280101,0,0.0
280101004,2025-06-25,280101,0,0.0
280101005,2025-06-25,280101,0,0.0
280101006,2025-06-25,280101,0,0.0
280101007,2025-06-25,280101,0,0.0
280101008,2025-06-25,280101,0,0.0
280901001,2025-06-25,280901,0,0.0
280901002,2025-06-25,280901,0,0.0
280901003,2025-06-25,280901,0,0.0
280901004,2025-06-25,280901,0,0.0
280901005,2025-06-25,280901,0,0.0
280901006,2025-06-25,280901,0,0.0
280901007,2025-06-25,280901,0,0.0
280901008,2025-06-25,280901,0,0.0
280901009,2025-06-25,280901,0,0.0
280901010,2025-06-25,280901,0,0.0
280909001,2025-06-25,280909,0,0.0
280909002,2025-06-25,280909,0,0.0
280909003,2025-06-25,280909,0,0.0
280909004,2025-06-25,280909,0,0.0
280909005,2025-06-25,280909,0,0.0
280909006,2025-06-25,280909,0,0.0
280909007,2025-06-25,280909,0,0.0
280909008,2025-06-25,280909,0,0.0
280909009,2025-06-25,280909,0,0.0
280909010,2025-06-25,280909,0,0.0
280909011,2025-06-25,280909,0,0.0
280909012,2025-06-25,280909,0,0.0
280909013,2025-06-25,280909,0,0.0
280909014,2025-06-25,280909,0,0.0
280909015,2025-06-25,280909,0,0.0
280909016,2025-06-25,280909,0,0.0
280909017,2025-06-25,280909,0,0.0
280909018,2025-06-25,280909,0,0.0
280909019,2025-06-25,280909,0,0.0
280909020,2025-06-25,280909,0,0.0
280909021,2025-06-25,280909,0,0.0
280909022,2025-06-25,280909,0,0.0
280909023,2025-06-25,280909,0,0.0
280909024,2025-06-25,280909,0,0.0
280909025,2025-06-25,280909,0,0.0
280909026,2025-06-25,280909,0,0.0
280909027,2025-06-25,280909,0,0.0
280909028,2025-06-25,280909,0,0.0
280909029,2025-06-25,280909,0,0.0
280909030,2025-06-25,280909,0,0.0
280909031,2025-06-25,280909,0,0.0
280909032,2025-06-25,280909,0,0.0
280909033,2025-06-25,280909,0,0.0
280909034,2025-06-25,280909,0,0.0
400003001,2025-06-25,400003,0,0.0
400003002,2025-06-25,400003,0,0.0
500002001,2025-06-25,500002,0,0.0
500002002,2025-06-25,500002,0,0.0
500002003,2025-06-25,500002,0,0.0
500009001,2025-06-25,500009,0,0.0
500009002,2025-06-25,500009,0,0.0
500009003,2025-06-25,500009,0,0.0
500009004,2025-06-25,500009,0,0.0
500009005,2025-06-25,500009,0,0.0
500009006,2025-06-25,500009,0,0.0
500009007,2025-06-25,500009,0,0.0
500009008,2025-06-25,500009,0,0.0
500009009,2025-06-25,500009,0,0.0
500009010,2025-06-25,500009,0,0.0
500009011,2025-06-25,500009,0,0.0
500009012,2025-06-25,500009,0,0.0
500011001,2025-06-25,500011,0,0.0
654321123,2025-06-25,654321,0,0.0
999988001,2025-06-25,999988,0,0.0
