LOCID,LOCDISPLAYID,LOCNAME,LOCTYPE,ISIBG,ISGST,PRODUCTNAME,AMOUNT,FLAG,TYPE,ISHQ
26,161601,SPPL - BEO CRESCENT,1,False,False,Online Adjustment,-0.0,FUN,CH,False
26,161601,SPPL - BEO CRESCENT,1,False,False,Online Adjustment,0.0,REC,CH,False
27,161602,SPPL - CHIN SWEE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
27,161602,SPPL - CHIN SWEE,1,False,False,Funding and Recovery,0.0,REC,CH,False
27,161602,SPPL - CHIN SWEE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
27,161602,SPPL - CHIN SWEE,1,False,False,Online Adjustment,0.0,REC,CH,False
28,161604,SPPL - SILAT AVENUE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
28,161604,SPPL - SILAT AVENUE,1,False,False,Funding and Recovery,0.0,REC,CH,False
28,161604,SPPL - SILAT AVENUE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
28,161604,SPPL - SILAT AVENUE,1,False,False,Online Adjustment,0.0,REC,CH,False
29,162001,SPPL - KING GEORGES AVE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
29,162001,SPPL - KING GEORGES AVE,1,False,False,Funding and Recovery,0.0,REC,CH,False
29,162001,SPPL - KING GEORGES AVE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
29,162001,SPPL - KING GEORGES AVE,1,False,False,Online Adjustment,0.0,REC,CH,False
30,162195,SPPL - GREAT WORLD CITY,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
30,162195,SPPL - GREAT WORLD CITY,1,False,False,Funding and Recovery,0.0,REC,CH,False
30,162195,SPPL - GREAT WORLD CITY,1,False,False,Online Adjustment,-0.0,FUN,CH,False
30,162195,SPPL - GREAT WORLD CITY,1,False,False,Online Adjustment,0.0,REC,CH,False
31,162199,SPPL - LUCKY PLAZA,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
31,162199,SPPL - LUCKY PLAZA,1,False,False,Funding and Recovery,0.0,REC,CH,False
31,162199,SPPL - LUCKY PLAZA,1,False,False,Online Adjustment,-0.0,FUN,CH,False
31,162199,SPPL - LUCKY PLAZA,1,False,False,Online Adjustment,0.0,REC,CH,False
32,162201,SPPL - PEACE CENTRE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
32,162201,SPPL - PEACE CENTRE,1,False,False,Funding and Recovery,0.0,REC,CH,False
32,162201,SPPL - PEACE CENTRE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
32,162201,SPPL - PEACE CENTRE,1,False,False,Online Adjustment,0.0,REC,CH,False
33,163301,SPPL - GEYLANG BAHRU,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
33,163301,SPPL - GEYLANG BAHRU,1,False,False,Funding and Recovery,0.0,REC,CH,False
33,163301,SPPL - GEYLANG BAHRU,1,False,False,Online Adjustment,-0.0,FUN,CH,False
33,163301,SPPL - GEYLANG BAHRU,1,False,False,Online Adjustment,0.0,REC,CH,False
34,163801,SPPL - GEYLANG LORONG 25A,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
34,163801,SPPL - GEYLANG LORONG 25A,1,False,False,Funding and Recovery,0.0,REC,CH,False
34,163801,SPPL - GEYLANG LORONG 25A,1,False,False,Online Adjustment,-0.0,FUN,CH,False
34,163801,SPPL - GEYLANG LORONG 25A,1,False,False,Online Adjustment,0.0,REC,CH,False
35,163802,SPPL - GEYLANG ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
35,163802,SPPL - GEYLANG ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
35,163802,SPPL - GEYLANG ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
35,163802,SPPL - GEYLANG ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
36,163803,SPPL - UPP BOON KENG,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
36,163803,SPPL - UPP BOON KENG,1,False,False,Funding and Recovery,0.0,REC,CH,False
36,163803,SPPL - UPP BOON KENG,1,False,False,Online Adjustment,-0.0,FUN,CH,False
36,163803,SPPL - UPP BOON KENG,1,False,False,Online Adjustment,0.0,REC,CH,False
37,175191,SPPL - CHEONG CHIN NAM ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
37,175191,SPPL - CHEONG CHIN NAM ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
37,175191,SPPL - CHEONG CHIN NAM ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
37,175191,SPPL - CHEONG CHIN NAM ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
38,175401,SPPL - ANCHORVALE ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
38,175401,SPPL - ANCHORVALE ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
38,175401,SPPL - ANCHORVALE ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
38,175401,SPPL - ANCHORVALE ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
39,176701,SPPL - BUKIT PANJANG,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
39,176701,SPPL - BUKIT PANJANG,1,False,False,Funding and Recovery,0.0,REC,CH,False
39,176701,SPPL - BUKIT PANJANG,1,False,False,Online Adjustment,-0.0,FUN,CH,False
39,176701,SPPL - BUKIT PANJANG,1,False,False,Online Adjustment,0.0,REC,CH,False
40,176702,SPPL - FAJAR SHOPPING CENTRE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
40,176702,SPPL - FAJAR SHOPPING CENTRE,1,False,False,Funding and Recovery,0.0,REC,CH,False
40,176702,SPPL - FAJAR SHOPPING CENTRE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
40,176702,SPPL - FAJAR SHOPPING CENTRE,1,False,False,Online Adjustment,0.0,REC,CH,False
41,176801,SPPL - TECK WHYE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
41,176801,SPPL - TECK WHYE,1,False,False,Funding and Recovery,0.0,REC,CH,False
