LOCID,LOCDISPLAYID,LOCNAME,LOCTYPE,ISIBG,ISGST,PRODUCTNAME,AMOUNT,FLAG,TYPE,ISHQ
80,195603,SPPL - ANG MO KIO N6,1,False,False,Funding and Recovery,0.0,REC,CH,False
80,195603,SPPL - ANG MO KIO N6,1,False,False,Online Adjustment,-0.0,FUN,CH,False
80,195603,SPPL - ANG MO KIO N6,1,False,False,Online Adjustment,0.0,REC,CH,False
81,195604,SPPL - ANG MO KIO N7,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
81,195604,SPPL - ANG MO KIO N7,1,False,False,Funding and Recovery,0.0,REC,CH,False
81,195604,SPPL - ANG MO KIO N7,1,False,False,Online Adjustment,-0.0,FUN,CH,False
81,195604,SPPL - ANG MO KIO N7,1,False,False,Online Adjustment,0.0,REC,CH,False
82,195605,SPPL - ANG MO KIO N2A,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
82,195605,SPPL - ANG MO KIO N2A,1,False,False,Funding and Recovery,0.0,REC,CH,False
82,195605,SPPL - ANG MO KIO N2A,1,False,False,Online Adjustment,-0.0,FUN,CH,False
82,195605,SPPL - ANG MO KIO N2A,1,False,False,Online Adjustment,0.0,REC,CH,False
83,195701,SPPL - BISHAN N1,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
83,195701,SPPL - BISHAN N1,1,False,False,Funding and Recovery,0.0,REC,CH,False
83,195701,SPPL - BISHAN N1,1,False,False,Online Adjustment,-0.0,FUN,CH,False
83,195701,SPPL - BISHAN N1,1,False,False,Online Adjustment,0.0,REC,CH,False
84,195702,SPPL - BISHAN N2,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
